國文,英文,數學,社會,自然
11,12,10,13,9
12,11,11,7,6
6,6,8,10,12
12,7,15,14,10
10,11,7,10,15
6,11,9,7,14
14,15,7,10,10
7,13,10,7,15
10,11,6,9,14
7,7,7,11,9
10,8,6,14,8
13,13,15,13,15
10,7,13,15,13
14,14,14,10,9
15,6,14,15,10
11,8,6,10,10
11,8,8,10,15
12,6,12,9,14
10,8,15,10,12
11,8,12,15,9
13,12,8,15,12
11,13,8,14,14
9,14,8,7,15
11,8,14,14,14
12,6,12,6,15
9,6,9,10,8
12,6,6,11,6
8,12,9,12,14
13,13,14,14,10
9,12,13,9,8
12,11,13,13,12
6,12,6,12,6
6,8,6,10,14
8,6,13,6,12
13,10,14,14,8
6,8,11,7,8
10,12,14,7,10
14,7,15,8,11
7,10,6,15,13
12,10,15,10,8
8,7,14,11,14
7,8,11,10,6
12,8,11,14,9
13,10,6,10,14
12,14,13,13,7
14,15,15,9,9
15,9,14,8,14
13,10,13,12,6
9,8,12,13,11
12,15,8,10,6
7,7,12,10,13
14,10,14,15,13
10,7,13,12,9
7,7,7,15,13
10,9,11,15,13
15,7,6,6,9
10,15,6,12,6
13,6,15,15,12
6,10,15,14,8
13,8,7,9,12
8,11,11,15,11
15,12,8,7,6
13,14,13,14,13
13,9,6,11,8
14,9,15,8,9
7,9,13,9,11
14,9,9,10,6
8,11,9,13,6
14,11,6,13,14
15,14,10,15,7
15,9,15,10,9
12,6,9,11,13
6,8,11,10,11
6,10,11,11,9
12,14,13,12,8
6,10,9,8,7
8,11,15,8,11
13,12,10,13,11
7,12,12,11,8
14,8,11,15,14
15,8,15,9,8
11,11,6,12,9
9,14,7,8,15
6,7,12,6,10
15,10,10,11,6
15,15,11,6,13
9,15,11,12,8
10,12,15,13,7
7,7,7,12,11
9,7,6,15,9
6,9,13,15,7
14,10,9,15,15
9,14,9,9,15
14,15,15,7,9
8,7,12,10,11
13,6,13,6,14
11,15,14,14,9
11,15,6,13,12
7,14,14,10,8
7,6,8,14,10
